" İÇERİK"," SINIF"
" Arkadaşlar, FIREPA.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! FIREPA.COM'da ayda 3.000$'dan fazla kazanıyorum! FIREPA.COM'u ziyaret edin ve göz atın! Göl. Busyglide. Sasaroo. Sore. Chillpal. Axiomatic. Naperone. Mere. Undesirable. Agreeable. Encouraging. Imperfect. Roasted. Insidious. Modgone. Quickest. Trelod. Keen. Fresh. Economic. Bocilile","1"
" Hasta kadınlar için hasta müziği","0"
"Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve göz atın! Göl. Muzaffer. Lüks. Alkolik. Sorumluluk sahibi. Tarafsız. Yoffa. Ociramma. Ociramma. Yakışıklı. Okçu. Mizuxe. Boaconic. Sofistike. Talihsiz. Spourmo. Tombul. Hioffpo. Muhtemel. Bekar.","1"
" LOVE TROP FORT VOTRE klibi","0"
"Arkadaşlar, MONEYGQ.COM adlı bu OLAĞANÜSTÜ web sitesine bir göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve bir göz atın! Lake. Waratel. Misty. Exciting. Swoquix. Acaer. Chillpal. Tupacase. Arrowgance. Lively. Hard. Idiotic. Bored. Cool. Ablaze. Crabby. Aloidia. Cheilith. Feandra. Useless. Ploosnar","1"
" Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve göz atın! Göl. Cahil. Dalga ateşi. Reiltas. Astauand. Skizzle. Jovaphile. Swooflia. Grynn. Mükemmel. Sümüksü. Geveze. Nalpür. Şanslı. Glozzom. Depresif. Daha iyi. Derin. Sinpad. Stereotiplenmiş. Toximble","1"
" Eminem ve Rihana trop belle chanson","0"
" bu şarkı eminem'in monster'ından daha iyi","0"
" O iyi bir çocuk!!!<br />Ben Krean'ım, Eminem'i severim~!~﻿","0"
" harika","0"
"Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve göz atın! Göl. Muhteşem. Erişte. Eşsiz. Moderock. Gogopo. Lulerain. Olielle. Zesty. Gülünç. Kazara. Pepelexa. Hoş. Tel gibi. Toogit. Örtüsüz. Göğüs. Sersem. Adhoc. Zayıf. Sığ.","1"
" Eminem'in Yılın Sanatçısı videosunu paylaşın ki kazanabilsin. Bir performans ve kabul konuşması görebilelim. Bu yorumu beğenin ki herkes görebilsin. 2014 = Eminem Yılı","1"
" watch?v=ARkglzjQuP0 Bu yorumu beğenin ve bu videoyu paylaşın ki Em kazanabilsin!!! #YTMA","1"
" YouTube'daki bu videoyu izleyin:<br /><br />Eminem muhteşem.","1"
" şimdiye kadarki en muhteşem şarkı","0"
" aşk﻿","0"
" Uzun bir paragrafa gerek yok, sadece &quot;Fire&quot; adlı şarkımı dinleyin.","1"
" YouTube'daki bu videoyu izleyin:","1"
" YouTube'daki bu videoyu izleyin: <a href=""http://www.youtube.com/user/jlimvuth"">http://www.youtube.com/user/jlimvuth</a> ... Eminem ft Rihanna - Love the way you lie﻿","1"
" arkadaşlar biliyor musunuz bu şarkının ikinci kısmı da var! :D","0"
"Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve göz atın! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel","1"
" Hey, ben Lost'tan Charlie.","0"
" Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'ın üzerinde kazanıyorum! MONEYGQ.COM'u ziyaret edin ve göz atın! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality","1"
" YouTube'daki bu videoyu izleyin:","1"
" Sanırım bu şarkı hayatımdaki en büyük korkularımdan biri, bana kötü davranan biriyle birlikte olmak ve onunla yaşamak...","0"
" &quot;EMİNEM -YTMA yılın sanatçısı&quot; youtube videosunu izleyin lütfen oy vermek için paylaşın!!!","1"
" Beş yıl önce yapıldı ve insanlar hala bu şarkının ilettiği mesajı anlamıyor. Anlamayanlar için, aile içi şiddetin oyun olmadığını anlayın, bu videodaki kurgusal kadın gibi kadınlar var. Kendisine kötü davranan bir adamla hayatlarını yaşıyorlar, ama yine de aşk için değil, ona verdiği cinsel his için kalmayı seçiyorlar. Bu aslında oldukça üzücü.","0"
" 5 yıl oldu ve hala müzik videosunu anlamadım, biri yardım edebilir mi?","0"
" Lütfen Yeni Şarkımı (Müzik Videosu) dinleyin AD - Don&#39;t Play","1"
" Lütfen müziğinizi beğenebilmem ve abone olabilmem için bize başlığı söyleyin fgw","1"
" Bu videonun izlenme sayısı 1 milyona yakın <br />","0"
" Siktir git Eminem﻿","0"
"Arkadaşlar, MONEYGQ.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve benim gibi bugün evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve inceleyin! Metal yansıtıcı etkiyi çizer. Genişleme neden komik bir noktaya müdahale eder? Hapşırık dumana tanıklık eder.","1"
" Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve göz atın! Masum kadın neden arzuyu önceliklendirir? Uçuş üzgün cilayı arar. Vergi her şeyi bilen kaydı ne zaman kapatır?","1"
" 2008-2010 yılları pop müzik yıllarıydı","0"
" üzgünüm ama eminmem değersiz bir karı döven piçtir","0"
" Eminem rap'in kralıdır Micheal Jackson pop'un kralıdır Eğer siz de sert bir çıkış yapmak ve birinci sınıf şöhret sahibi olmak istiyorsanız Authenticviews*com'a göz atın ve birkaç gün içinde ünlü olun!! yO ~","1"
" eş istismarı harika, harika","0"
" o megan fox mu?çünkü çok benziyor","0"
" Aman Tanrım. 800.000.000 görüntüleme mi?!﻿","0"
" eminem - RIHANNA﻿","0"
" BU ŞARKIYI SEVİYORUM!!!﻿","0"
" Ne güzel⛺♥♥♥♥﻿","0"
" Bu şarkıyı çok seviyorum","0"
" Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'ın üzerinde kazanıyorum! MONEYGQ.COM'u ziyaret edin ve inceleyin! İncecik bir kayma ne zaman yöneticiyi kolaylaştırır? Gürültü, kaygılı pişmanlığı nasıl hedeflere koyar? Gerçek kayıp gülümsemeyi nasıl geri getirir?","1"
" Ben bayılıyorum ve annem de bayılıyor","0"
"2015'te kimler izliyor?","0"
" Lütfen Yeni Şarkımı (MÜZİK VİDEOSU) REKLAMI izleyin - Dont Play","1"
" muhteşem şarkı","0"
" Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve inceleyin! Ahşap neden boğuk nefesi fotoğraflıyor? Eylem ne zaman keyifli sistemi koruyor? Ritim, ışıltılı limanı üretiyor.","1"
"Arkadaşlar, MONEYGQ.COM adlı bu olağanüstü web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! MONEYGQ.COM'da ayda 3.000$'dan fazla kazanıyorum! MONEYGQ.COM'u ziyaret edin ve inceleyin! Aşçı vergiyi yönetir. Yürüyüş miktarı belirler. Mürekkep neden değerli artışı eğitir?","1"
" Eminem & Kid Cudi Mash-up'ıma göz atın /watch?v=XYTcq5NzMuA","1"
" Hoşuma gitti","0"
" ARKADAŞLAR, BU SİZİ RAHATSIZ EDİYORSA ÖZÜR DİLERİM!!! AMA KANALIMA VE EN SON VİDEOMA BAKIN. BEĞENİP ABONE OLMAK DA GÜZEL OLUR!!!!!!","1"
"Geçtiğimiz Noel'de babam vefat etti, başa çıkmama yardımcı olmak için bir kalem ve biraz kağıt aldım ve yazmaya başladım. Yaklaşık 9 ay önce bunun beni bugün olduğum yere getireceğini bilmiyordum. 7 binden fazla abone ve 500 bin video izlenme. Dün birkaç kez intihar etmeye çalışan bir arkadaşım hakkında bir şarkı yazdım ve yayınladım, size profesyonel olarak üretilmiş müzik sözü veremem ama GERÇEK şarkı sözleri sözü verebilirim. Sadece resmime tıklayın. Teşekkürler ve başkalarının da görebilmesi için beğenilerinizi belirtin?","1"
"••••►►Benim adım George ve size EMINEM'in benim idolüm, ilham kaynağım olduğunu söyleyeyim, büyürken onu dinledim, rap'i bu kadar seveceğimi hiç düşünmezdim Ama hayalimi bulmama yardım ettiği için ona teşekkür ediyorum. Bu yüzden artık rap yapıyorum ve YouTube videoları yapıyorum ve dün Mockingbird şarkısını coverladım, kanalımda var, üzerinde gerçekten çok çalıştım ve bu onun en sevdiğim şarkılarından biri. Bu yüzden lütfen gidip kontrol edin ve abone olun, benim için dünyalar anlamına gelir ve spam için özür dilerim ◄◄•••• Eminem olmadığımdan nefret etmeyin","1"
" rhianna'nın da yer aldığı ""the way you lie"" şarkısını çok sevdim, o harika bir rapçi!!! o harika bir şarkıcı!!!﻿","0"
" Eminem benim ilham kaynağım ve favorim","0"
" ee...herkes kanalıma göz atabilir.. dundundunnn","1"
" Aralarındaki her işbirliğinin 1 numara olacağını biliyoruz","0"
" ZONEPA.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! ZONEPA.COM'da ayda 3.000$'dan fazla kazanıyorum! Zonepa.com'u ziyaret edin ve göz atın! Cevap neden kızarma sınırını rehabilite ediyor? İtme çeliği değersizleştiriyor. Güzel seçim aralığı nasıl düzenliyor?","1"
"ZONEPA.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! ZONEPA.COM'da ayda 3.000$'dan fazla kazanıyorum! Zonepa.com'u ziyaret edin ve göz atın! Görünüm neden maço kaldırmayı ortaya koyuyor? Mektup neden gürleyen nedeni çerçeveliyor? Konuşma neden bilinçli hafızayı engelliyor?","1"
" iyi müzik","0"
" ZONEPA.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! ZONEPA.COM'da ayda 3.000$'dan fazla kazanıyorum! Zonepa.com'u ziyaret edin ve göz atın! Jöle yansıtıcı dağılımı etkinleştirir. Normal üst kısım fikri sentezler. Muzaffer bitki dili eğlendirir.","1"
"eğer youtube abonesine ihtiyacınız varsa fb'de hermann buchmair'e mail atın","1"
" ilişkimin böyle olması kötü mü lol﻿","0"
" Bu video <b>1 Milyar</b> izlenmeyi hak ediyor!!!﻿","0"
" 2015 ve daha fazlası...﻿","0"
" şimdiye kadarki en iyi şarkı (y)﻿","0"
" Bunu yıllarca duyabilirim ;3﻿","0"
" 2015'te hala kim izliyor?","0"
"Keşke o adam bu kadar korumacı olmasaydı","0"
" süper rihanna","0"
" ▬▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ KANALIMA GÖZ ATIN ▬▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬","1"
"Bunu belki kimsenin okumayacağını biliyorum ama LÜTFEN &quot;deazy99&quot; yazın Ben bir hayali olan bir rapçiyim. Her gün burada milyonlarcasını gördüğünüzü biliyorum ama lütfen müziğimi dinleyin ve isterseniz abone olun, teşekkür ederim, youtube'da insanlardan düzgün bir takipçi kitlesine sahip olmaktan başka bir şey istemem, bunu okuyan herkes &quot;THUMBS UP&quot; verebilir çünkü bazılarının basit bir düğmeye basmak olarak görebileceği şey benim hayalimi gerçekleştirebilir.. Zaman ayırdığınız için tekrar teşekkür ederim ve Tanrı sizi korusun","1"
" Rihanna çok güzel ve muhteşem ♥♥♥♥♥Onu çok seviyorum ♥♥♥♥ Sonsuza dek RiRi hayranıyım ♥ ♥ ♥ ♥ ♥ ♥ ﻿","0"
" fav.﻿","0"
"HEY ARKADAŞLAR!!! ❤❤❤❤❤❤❤ BENİ GÖRMEZDEN GELMEDEN ÖNCE, LÜTFEN BANA BİR ŞANS VERİN! Benim adım Yuliya, COVER yapıyorum. Youtube ile Eylül 2013'te ciddi olarak ilgilenmeye başladım çünkü bu kendime büyük bir meydan okuma. HAYALİM şarkıcı olmaktı. Youtube bana ayak uydurmamda yardımcı oluyor! Eğer bana bir şans verebilirseniz ve BU YORUMU BEĞENİRSENİZ daha fazla insan görebilir. Yemin ederim ki minnettar olacağım. LÜTFEN ABONE OLUN!!! ❤❤❤ SİZİ SEVİYORUM!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤","1"
" YouTube'daki bu videoyu izleyin:","1"
" Şarkılarının her biri beni asla geri dönemeyeceğim bir yere götürüyor ve bu içimde çok kötü bir acı yaratıyor","0"
" Şarkılarını seviyorum Eminem, sen rap tanrısısın","0"
" SnEakiESTG İyi Müzik. Hood Muzik Kanalıma Abone Ol. Desteğiniz İçin Teşekkürler. SnEakiESTG SnEakiESTG İyi Müzik. Hood Muzik Kanalıma Abone Ol. Desteğiniz İçin Teşekkürler. SnEakiESTG","1"
" Bu şarkıyı ağlayarak okudum, bazı zor anıları geri getirdi","0"
" bize abone olun, biz de size abone olalım","1"
" şarkı kötü","0"
" LÜTFEN LOVE THE WAY YOU LIE'IN KAPAĞINA BİR GÖZ ATIN!!","1"
"fantezi müziğini tam burada dinle ------- ; the1fantasy iyi müzik dostum.","1"
" ZONEPA.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! ZONEPA.COM'da ayda 3.000$'dan fazla kazanıyorum! Zonepa.com'u ziyaret edin ve inceleyin! Savaş, ayrıcalıklı alanı nasıl tasvir ediyor? Dağ, çaresiz ölümü ifade ediyor. Vergi incelemeleri, özel müziği ifade ediyor.","1"
" ZONEPA.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! ZONEPA.COM'da ayda 3.000$'dan fazla kazanıyorum! Zonepa.com'u ziyaret edin ve inceleyin! Gürültülü otorite tuvali iyileştirir. Anne ne zaman küstah öğrenmeyi onarır? Sağlam aşçı limanı türetir.","1"
"ZONEPA.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! ZONEPA.COM'da ayda 3.000$'dan fazla kazanıyorum! Zonepa.com'u ziyaret edin ve inceleyin! Patlama semptomatik ısırığı nasıl oluşturur? Bilgi dar düşünceyi özetler. Hevesli gökyüzü ezilmeyi nasıl iletir?","1"
" ZONEPA.COM adlı bu OLAĞANÜSTÜ web sitesine göz atmalısınız. Çevrimiçi para kazanabilir ve bugün benim gibi evden çalışmaya başlayabilirsiniz! ZONEPA.COM'da ayda 3.000$'dan fazla kazanıyorum! Zonepa.com'u ziyaret edin ve inceleyin! Devasa atık şoku nasıl elde ediyor? Sınır hassas dakikayı nasıl azaltıyor? Etli ölçek yağı nasıl uyarlıyor?","1"
" LOST'tan Charlie mi?﻿","0"
" Bu şarkı ne oldu da beş yıl oldu? İlk çıktığında benim şarkım olduğunu hatırlıyorum","0"
" Kanalıma göz atın, 15 yaşında bir rapçiyim!","1"
" o Megan Fox mu?","0"
" wtf. kanalıma abone ol teşekkürler ;)","1"
" Hey kanalıma bir göz atın!!!! Lütfen","1"
" Yani kız arkadaşını öldürdüğünü itiraf mı ediyor???","0"
" you tube keithlinscotts one word keithlinscotts you tube .com'a göz atın","1"
" Annemin kanalına göz atın!","1"
" bu yıl çocuğu sonsuza dek tokatlamak istiyorum","0"
" Charlie, eroin sana bunu yapar.","0"
" Meyve ve sebzeler kilo vermeniz için size daha uzun süreli enerji verir. youtube.com/user/36loseweight adresini ziyaret edin.","1"
" Aşk Şarkısı","0"
" Megan Fox bunda muhteşem!! Eminem gerçekten rap tanrısı :)﻿","0"
"RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) TIKLA! ABONE OL!","1"
" YouTube'daki bu videoyu izleyin:","1"
" Daha çok izleniyor ama daha az abonesi var lol","1"
" Eminem Survivor'a gidin.","1"
"Hey! Ben Teksaslı 16 yaşında bir rapçiyim. &quot;PMW&quot; rap yapmıyorum ama müziğimin sizi hayal kırıklığına uğratmayacağına söz veriyorum. Beni bulmak ve &quot;Memory Lane&quot; parçamı dinlemek için therealchrisking1'i arayın. 3. mix-tape &quot;Crown Me&quot;yi yeni yayınladım ve şimdiye kadar hakkında sadece iyi yorumlar aldım. Beğenmenizi veya abone olmanızı istemiyorum ama sadece 1 görüntüleme hayalimi yakalamama yardımcı olacak. Ve ne düşündüğünüzü bana bildiren bir yorum bırakırsanız bu da ÇOK takdir edilecektir. Teşekkür ederim.","1"
" Eminem izlenme başına 1 peni alırsa 600 milyon doları olur","1"
" LEANDRUS - PLAYTIME'ı inceleyin Harika!!","1"
" YouTube'daki bu videoyu izleyin:","1"
"Bunu belki kimsenin okumayacağını biliyorum ama LÜTFEN &quot;deazy99&quot; yazın Ben bir hayali olan bir rapçiyim. Her gün burada milyonlarcasını gördüğünüzü biliyorum ama lütfen müziğimi dinleyin ve isterseniz abone olun, teşekkür ederim, youtube'da insanlardan düzgün bir takipçi kitlesine sahip olmaktan başka bir şey istemem, bunu okuyan herkes &quot;THUMBS UP&quot; verebilir çünkü bazılarının basit bir düğmeye basmak olarak görebileceği şey benim hayalimi gerçekleştirebilir.. Zaman ayırdığınız için tekrar teşekkür ederim ve Tanrı sizi korusun","1"
" Kpopcity.net'te Rihanna gibi giyinin - Dünyanın en büyük indirimli moda mağazası! Tüm favori yıldızlarınız gibi giyinmek için &quot;Hollywood Koleksiyonumuza&quot; göz atın! Kpopcity.net'te Rihanna gibi giyinin - Dünyanın en büyük indirimli moda mağazası! Tüm favori yıldızlarınız gibi giyinmek için &quot;Hollywood Koleksiyonumuza&quot; göz atın!","1"
" BU DOPE KANALINA GÖZ ATIN! phenomenonllyricshere BU DOPE KANALINA GÖZ ATIN! phenomenallyricshere BU DOPE KANALINA GÖZ ATIN! phenomenallyricshere BU DOPE KANALINA GÖZ ATIN! phenomenallyricshere BU DOPE KANALINA GÖZ ATIN! phenomenallyricshere BU DOPE KANALINA GÖZ ATIN! phenomenallyricshere","1"
" muhteşem şarkı","0"
" :)﻿","0"
" LOST'tan Charlie","0"
" Lütfen bana abone olun EMİNEM HAYRANLARI","1"
" dostum psy'ye bak","1"
" Bunu seviyorum - Eminem ve Skylar'ın yetenekleri, birlikte iyi çalışıyor","0"
" Bu videoyu paylaşın.. Bu şarkı PSY - Gangnam Style'ı geçebilir!","1"
" 2015'te izliyorsanız ve beğendiyseniz baş parmağınızı yukarı kaldırın","0"
" Tyga'nın Molly ft. Whiz Khalifa şarkısına yaptığım remiks'e göz atın Barış ve sevgi","1"
" Kanalıma göz atın lütfen.","1"
"Son 60 gündür gelişmek için çok çalışıyorum, her gün 16 ölçü yazıyorum/kaydediyorum/miksliyorum/performans sergiliyorum, bunu bir yıldır yapıyorum (365 gün) bugün 60. gündeyim, bugün çok çalışıyorum, gelişmek için her gün 2 kıta yapıyorum, 365'e kadar gidiyorum. Lütfen kanalıma ABONE olun, bir hayran kitlesi oluşturmama yardımcı olun, gelişmemi izleyin, hayallerime yaklaşmama yardımcı olun, lirik biriyim ve gerçekçiyim, sizi hayal kırıklığına uğratmayacağım, söz veriyorum (: LÜTFEN ABONE OLUN, lütfen bu yorumu beğenin ki insanlar görsün","1"
" Buna inanamıyorum Az önce Rihanna ile yeni bir yetişkin video klibi izledim Siyah bir basketbol oyuncusuyla sevişiyor İsterseniz videosunu buradan izleyebilirsiniz: crazy-celeb-news.eu.pn","1"
"┏━━━┓┏┓╋┏┓┏━━━┓┏━━━┓┏┓╋╋┏┓ ┃┏━┓┃┃┃╋┃┃┃┏━┓┃┗┓┏┓┃┃┗┓┏┛┃ ┃┗━━┓┃┗━┛┃┃┃╋┃┃╋┃┃┃┃┗┓┗┛┏ ┗━━┓┃┃┏━┓┃┃┗━┛┃╋┃┃┃┃╋┗┓┏┛ ┃┗━┛┃┃┃╋┃┃┃┏━┓┃┏┛┗┛┃╋╋┃┃ ┗ ━━━┛┗┛╋┗┛┗┛╋┗┛┗━━━┛╋╋┗┛ VİDEOLARIMI KONTROL EDİN VE ABONE OLUN VE BEĞENİN LÜTFEN","1"
" Hiç eskimiyor, gelmiş geçmiş en iyi şarkı ❤﻿","0"
" Önce kavga ettiler... Sonra öpüştüler...﻿","0"
"Bunu belki kimsenin okumayacağını biliyorum ama LÜTFEN &quot;deazy99&quot; yazın Ben bir hayali olan bir rapçiyim. Her gün burada milyonlarcasını gördüğünüzü biliyorum ama lütfen müziğimi dinleyin ve isterseniz abone olun, teşekkür ederim, youtube'da insanlardan düzgün bir takipçi kitlesine sahip olmaktan başka bir şey istemem, bunu okuyan herkes &quot;THUMBS UP&quot; verebilir çünkü bazılarının basit bir düğmeye basmak olarak görebileceği şey benim hayalimi gerçekleştirebilir.. Zaman ayırdığınız için tekrar teşekkür ederim ve Tanrı sizi korusun","1"
"Hey millet lütfen bana bir dakika ayırın:) Sri Lanka'dan bir şarkıcıyım ve 18 yaşındayım! Çok iyi bir şarkıcı olmayı seviyorum bir gün olacak bu yüzden umarım gerçekten hayatımda gerçekleşir. Sadece videolarımı izleyin ve puanlayın ve sesimin nasıl olduğunu bana bildirin lütfen hayalimi yaşamaya daha da yaklaşmamıza yardımcı olun:)! Bana yardım ettiğinizi gerçekten biliyorum bu yorumu okuyan kişi hislerimi anlayabilir! Teşekkürler millet, sizi gerçekten çok seviyorum! KANALIMA ABONE OLUN VE TEKRAR TEŞEKKÜRLER!","1"
" Arkadaşlar ben 14 yaşında bir rapçiyim ve yeni rap yapmaya başladım. Lütfen sitemi ziyaret edin, geri bildirim bırakın ve abone olun. Ayrıca bu yorumu beğenin ki daha fazlası görsün ve kanalımı da büyütün.","1"
" YouTube'daki bu videoyu izleyin:","1"
"*90'lar rap hayranları için* Big Pun - 'Beware' cover'ıma bir göz atın! Beğenilerinizi ve yorumlarınızı çok takdir ediyorum!","1"
" Bu şarkıyı çok seviyorum up to the moon  ;3 you are Rocks!﻿","0"
" Merhaba. Ben Azerbaycanlıyım.","0"
"Bu büyük Uyarı yakında gerçekleşecek. ,0 LneaDw26bFst76VHKJL8PxaEy6VMNlvmriUDTSFK6vY,Ali Paša,2013-09-26T22:28:17.047000,Hırvatistan  ;3,0 LneaDw26bFvkAHxpKEnM25FYWkyXthsUpri6JuQsZnU,G Belrus,2013-09-26T22:26:12.832000,Güzel,0 LneaDw26bFtvZQt6JUEhasIEFRJG1exI_dVqdnQVPho,exode. comeback.,2013-09-26T22:23:00.710000,600m views.,0 LneaDw26bFunOarAg71AwGU6TJO6aZDKFIUn_TZ1_HY,Muhammad Shaeel Abbas,2013-09-26T22:15:45.476000,Fuck off!,0 LneaDw26bFt-oToUFj0z3vffLFNaxyKwZSIVQhiMx-E,Notorious Niko,2013-09-26T22:00:43.613000,""Hey millet, tanınmaya çalışan 17 yaşında bir rapçiyim... İngilizce konuşan KİMSE'nin olmadığı Belçika'da yaşıyorum, bu yüzden bu eşcinsel SPAM'a başvurmak zorundayım... Muhtemelen en iyileri oldukları için son 2 parçamı dinleyin. Ses en iyisi ama bir sonraki parçam için gerçek ekipmanlara yatırım yapacağım.. Lütfen bunu beğenin ki diğerleri de görsün.. ya da sadece beni kendiniz kontrol etmeyin ve bir yanıt ve beğeni bırakın :D Şimdiden teşekkürler, sizler hayalimin GERÇEK olmasına katkıda bulunacaksınız -Notorious Niko","1"
" Merhaba arkadaşlar, ben 17 yaşında bir rapçiyim ve tanınırlık kazanmaya çalışıyorum... Hiç kimsenin İngilizce konuşmadığı Belçika'da yaşıyorum, bu yüzden bu eşcinsel SPAM'a başvurmak zorundayım... Muhtemelen en iyilerim oldukları için son 2 parçamı dinleyin. Ses en iyisi değil ama bir sonraki parçam için gerçek ekipmanlara yatırım yapacağım. Lütfen bunu beğenin ki başkaları da görsün.. ya da sadece beni kendiniz kontrol etmeyin ve bir yanıt ve beğeni bırakın :D Şimdiden teşekkürler, sizler hayalimin GERÇEK olmasında rol alacaksınız -Notorious Niko","1"
" EMINEM ;3 <br />gelmiş geçmiş en iyi rapçi ;3﻿","0"
" rap'ten nefret ediyorum","0"
" Rihanna'nın kısa mix'ini görmek için kanalıma göz atın :)","1"
" Her hafta sonu Eminem'in yeni bir şarkı sözü videosu burada GÖRÜNTÜLE BEĞEN ABONE OL","1"
" Bu şarkı/video çok tetikleyici ama bir o kadar da güzel...﻿","0"
" Dante B'nin Riled Up Adlı Yeni Sıcak Videosunu İzleyin","1"
" O Meghan Fox muydu?","0"
" ayyy beyler lütfen rap videomu dinleyebilir misiniz 16 yaşındayım ve sadece biraz ilgi görmeye çalışıyorum lütfen yazın ve teşekkür ederim","1"
" KANALIMA ABONE OLUN! ;-) LÜTFEN!!","1"
" Harika bir şarkı! Tebrikler!!!﻿","0"
" Müzik kanalımıza bir göz atın! JEMINI'nin &quot;Love Me&quot; şarkısını dinleyin! Eğer öyleyseniz çok harika bir insansınız, bunu inceleyen herkese teşekkür ederim, eğer incelemediyseniz bile bu yazıyı okuduğunuz için hala harika bir insansınız","1"
